Channel,Standard Key,Name,Dimensions,Description,Max File Size,File Formats
website,BANNER_300x250,300x250 Medium Rectangle,300x250,IAB Standard - Most common web ad size. Works well in content or sidebar.,150KB,"JPG, PNG, GIF, HTML5, SVG"
website,BANNER_728x90,728x90 Leaderboard,728x90,IAB Standard - Horizontal banner typically placed at top or bottom of page.,150KB,"JPG, PNG, GIF, HTML5"
website,BANNER_160x600,160x600 Wide Skyscraper,160x600,IAB Standard - Tall vertical ad for sidebar placement.,150KB,"JPG, PNG, GIF, HTML5"
website,BANNER_300x600,300x600 Half Page,300x600,IAB Standard - Large vertical unit for premium sidebar placement.,200KB,"JPG, PNG, GIF, HTML5"
website,BANNER_320x50,320x50 Mobile Leaderboard,320x50,IAB Standard - Mobile-optimized banner for smartphone screens.,50KB,"JPG, PNG, GIF, HTML5"
website,BANNER_970x250,970x250 Billboard/Large Leaderboard,970x250,IAB Standard - Large billboard-style banner for premium placements.,200KB,"JPG, PNG, GIF, HTML5"
website,BANNER_970x90,970x90 Large Leaderboard,970x90,IAB Standard - Wide banner for prominent placement at top of page.,150KB,"JPG, PNG, GIF, HTML5"
website,BANNER_336x280,336x280 Large Rectangle,336x280,IAB Standard - Larger rectangular ad for sidebar or content placement.,150KB,"JPG, PNG, GIF, HTML5"
website,BANNER_468x60,468x60 Full Banner,468x60,IAB Standard - Traditional banner size for header or content placement.,100KB,"JPG, PNG, GIF, HTML5"
website,BANNER_250x250,250x250 Square,250x250,IAB Standard - Square ad for sidebar or widget placement.,100KB,"JPG, PNG, GIF, HTML5"
website,VIDEO_PRE_ROLL,Pre-roll Video Ad,1920x1080,Video advertisement that plays before content,50MB,MP4
website,VIDEO_MID_ROLL,Mid-roll Video Ad,1920x1080,Video advertisement that plays during content,30MB,MP4
website,NATIVE_AD,Native Ad Unit,responsive,Advertisement designed to match site content style,200KB,"JPG, PNG"
website,CUSTOM_BANNER,Custom Banner Size,N/A,Non-standard banner size specific to publication layout,200KB,"JPG, PNG, GIF, HTML5"
newsletter,EMAIL_HEADER_BANNER,600x150 Email Header Banner,600x150,Standard email header/banner ad. Most common newsletter size.,200KB,"JPG, PNG, GIF"
newsletter,EMAIL_LEADERBOARD,600x100 Email Leaderboard,600x100,Compact email leaderboard ad.,150KB,"JPG, PNG, GIF"
newsletter,EMAIL_LARGE_BANNER,600x200 Email Large Banner,600x200,Larger email banner for more visual impact.,250KB,"JPG, PNG, GIF"
newsletter,EMAIL_DISPLAY,600x300 Email Display Ad,600x300,Large email display ad.,300KB,"JPG, PNG, GIF"
newsletter,NEWSLETTER_LEADERBOARD,728x90 Leaderboard,728x90,IAB standard leaderboard common in email newsletters.,150KB,"JPG, PNG, GIF"
newsletter,NEWSLETTER_MEDIUM_RECTANGLE,300x250 Medium Rectangle,300x250,IAB standard size used in newsletter content.,150KB,"JPG, PNG, GIF"
newsletter,NEWSLETTER_LARGE_RECTANGLE,336x280 Large Rectangle,336x280,IAB standard large rectangle.,150KB,"JPG, PNG, GIF"
newsletter,NEWSLETTER_TAKEOVER,Full Newsletter Takeover,N/A,Exclusive newsletter sponsorship. Custom creative based on publication template.,500KB,"HTML, JPG, PNG"
newsletter,NEWSLETTER_TEXT_ONLY,Text-Only Sponsorship,text-only,Text-based sponsorship message. No image required. Plain text preferred.,10KB,TXT
newsletter,NEWSLETTER_NATIVE,Native / Sponsored Content,sponsored-content,Content-integrated advertising that matches newsletter style.,200KB,"TXT, HTML, JPG, PNG"
newsletter,NEWSLETTER_RESPONSIVE,Responsive Newsletter Ad,N/A,Flexible ad that adapts to email client and device.,300KB,"JPG, PNG, GIF"
print,FULL_PAGE,Full Page Print Ad,N/A (varies by publication),Full page advertisement. Exact dimensions vary by publication.,50MB,"PDF, TIFF, EPS, AI"
print,HALF_PAGE,Half Page Print Ad,N/A (varies by publication),Half page advertisement. Can be horizontal or vertical. Dimensions vary by publication.,25MB,"PDF, TIFF, EPS, AI"
print,QUARTER_PAGE,Quarter Page Print Ad,N/A (varies by publication),Quarter page advertisement. Dimensions vary by publication.,15MB,"PDF, TIFF, EPS, AI"
